id,name,text,trans
0000000000000,プロデューサー,改めて、今日は本当に悪かったな\n撮影入っちゃって……,再次说一声，今天真是不好意思了\n拍摄突然插进来了……
3019017010010,愛依,マジ気にしないでって～\nそのぶん、頼み聞いてもらったんだし！,真的别放在心上啦～\n反正你也答应帮忙了嘛！
0000000000000,愛依の妹,お姉ちゃん、プロデューサーさん！\n今日はありがとうございました！,姐姐，制作人！\n今天谢谢你们了！
0000000000000,プロデューサー,──というわけで、愛依の誕生日にしか\nスケジュールが組めないらしくてな……申し訳ない！,──就是说，因为只有爱依生日那天有空，\n所以才安排了这个日程……真是抱歉！
3019017010020,愛依,プロデューサーは悪くないっしょ！\nうちは全然いいから！,制作人没错啦！\n我这边完全没关系的！
0000000000000,プロデューサー,いや……でもな,不……不过啊
0000000000000,プロデューサー,……そうだ、何かしてほしいことないか？\n俺にできることなら、叶えるよ,……对了，有什么想让我做的吗？\n只要我能做到的，一定满足你
3019017010030,愛依,や、そんなんマジで……,诶，那种事真的……
3019017010040,愛依,……あ～……じゃあひとつ……！\nたぶんプロデューサーじゃないと無理っぽいから──,……啊～那就说一个吧……！\n可能只有制作人才能办到的──
3019017010050,愛依,『プロデューサープレゼンツ！\nお姉ちゃんの仕事見学！』どうだった～？,『制作人特别呈现！\n姐姐的工作参观！』怎么样～？
0000000000000,愛依の妹,楽しかった！　お仕事中のお姉ちゃん\nすっごくかっこよかった！,很开心！看到姐姐工作中的样子\n超级帅气！
0000000000000,プロデューサー,お姉さんな、いつだってあんな感じで\nとってもすごいんだよ,姐姐啊，无论何时都是那样\n非常厉害的
3019017010060,愛依,ちょ、プロデューサー\nそれは盛りすぎ～,等一下，制作人\n你夸得太过头了～
0000000000000,プロデューサー,いやいや、そんなことないだろ,才没有呢，哪有那么夸张
0000000000000,愛依の妹,それと、プロデューサーさんもびしってしてて\nお姉ちゃんと同じくらいかっこよかったです！,还有，制作人你也很帅气\n跟姐姐一样棒哦！
0000000000000,プロデューサー,はは、それは……,哈哈，那是……
3019017010070,愛依,でしょ～？\nいつもあんなカンジだから！　ハンパないっしょ！,对吧～？\n她一直都是那样！简直太厉害了！
0000000000000,愛依の妹,……お姉ちゃんとプロデューサーさん\nちょっと似てますねっ,……姐姐和制作人\n有点像呢
3019017010071,愛依＆プロデューサー,……？\nそうかな？,……？\n是吗？
0000000000000,愛依の妹,わ！\nちょっとじゃなくて、とってもです！,哇！\n不是一点点，而是非常像哦！
0000000000000,店員,お待たせしました\nケーキセット３つになります,久等了\n这是三份蛋糕套餐
3019017010072,一同,ありがとうございます,谢谢
0000000000000,プロデューサー,それじゃ……\n……今日は誕生日おめでとう、愛依,那么……\n……今天生日快乐，爱依
0000000000000,愛依の妹,おめでとう！　お姉ちゃん！,祝你生日快乐！姐姐！
3019017010080,愛依,……\nサンキュー！,……\n谢谢！
0000000000000,愛依の妹,あっ、お姉ちゃん！\nお店入った時より、人がたくさん！,啊，姐姐！\n进店的时候人没这么多，现在好多了！
3019017010090,愛依,だね～……\nイベントでもやってるんかな,是啊～……\n是不是有什么活动在举办呢
3019017010100,愛依,……手、貸して\nうちが握ってるから,……把手给我\n我来牵着
0000000000000,愛依の妹,え～……もうそんな歳じゃないよ～,诶～……我已经不是那个年纪了啦～
3019017010110,愛依,まぁ、気持ちはわかるけどさ～\n迷子になっちゃったらうち、嫌だな～？,嘛，我懂你的心情啦～\n但要是迷路了我会很难过的哦～？
3019017010120,愛依,楽しい気持ちのまんま、帰りたくない？,你不想带着开心的心情回家吗？
0000000000000,愛依の妹,……\nうん,……\n嗯
3019017010130,愛依,……偉い！\nプロデューサー、反対の手、お願い,……乖！\n制作人，帮忙牵另一只手吧
0000000000000,プロデューサー,ああ,嗯
0000000000000,愛依の妹,……\nふふっ,……\n呵呵
3019017010140,愛依,ん～？\nどしたん？,嗯～？\n怎么了？
0000000000000,愛依の妹,なんか、ちっちゃい頃みたい\nプロデューサーさんの手、パパと似てるから,感觉像小时候一样\n制作人的手跟爸爸的手很像
0000000000000,プロデューサー,そうなのか,是吗
0000000000000,愛依の妹,はい！\nで、お姉ちゃんはママの手に似てます！,是的！\n而且姐姐的手像妈妈的手！
3019017010150,愛依,そりゃ、母さんの子どもなんだから\n当たり前っしょ,那当然啦，毕竟是妈妈的孩子嘛
0000000000000,愛依の妹,えへへっ\nパパとママ～,嘻嘻\n爸爸和妈妈啊～
3019017010160,愛依,こーら、そういうこと言うと\nプロデューサーがリアクションに困るっしょ、ねぇ？,喂，别这么说啦\n制作人会不知道怎么反应的，对吧？
0000000000000,プロデューサー,はは、そうだな,哈哈，是啊
0000000000000,愛依の妹,お姉ちゃんは平気なの～？,姐姐你不介意吗～？
3019017010170,愛依,や……！\nう、うちも困るし……！,呃……！\n我也会难为情的……！
0000000000000,愛依の妹,……？\nお姉ちゃん、なんか赤いね？,……？\n姐姐，你脸红了？
3019017010180,愛依,……も～！　からかうんじゃないの！\nあんまり言うと、あとでお説教だぞ～！,……哎呀！别捉弄我啦！\n再说太多，可要被训话哦～！
info,produce_events/301901701.json,,
译者,gpt-4.1-mini,,
